Index,ISIN,bond,maturity_date,issue_date,coupon,JAN.8,JAN.9,JAN.10,JAN.11,JAN.12,JAN.15,JAN.16,JAN.17,JAN.18,JAN.19
1,CA135087J546,CAN 2.25 Mar24,3/1/2024,10/5/2018,0.0225,99.63,99.64,99.65,99.66,99.67,99.69,99.68,99.68,99.71,99.72
2,CA135087J967,CAN 1.5 Sep24,9/1/2024,4/5/2019,0.0150,97.96,97.98,97.99,97.98,98.02,98.05,97.97,97.98,98,98.01
3,CA135087K528,CAN 1.25 Mar25,3/1/2025,10/11/2019,0.0125,96.46,96.48,96.55,96.58,96.66,96.71,96.54,96.45,96.5,96.46
4,CA135087K940,CAN 0.5 Sep25,9/1/2025,4/3/2020,0.0050,94.34,94.37,94.38,94.43,94.49,94.49,94.42,94.25,94.24,94.22
5,CA135087L518,CAN 0.25 Mar26,3/1/2026,10/9/2020,0.0025,92.86,92.86,92.84,92.86,93.02,93.01,92.8,92.57,92.55,92.54
6,CA135087E679,CAN 1.5 Jun26,6/1/2026,7/21/2015,0.0150,94.97,95.01,95.06,95.06,95.17,95.14,95,94.74,94.69,94.66
7,CA135087M847,CAN 1.25 Mar 27,3/1/2027,10/15/2021,0.0125,93.28,93.3,93.25,93.19,93.47,93.49,93.14,92.86,92.75,92.76
8,CA135087F825,CAN 1.0 Jun27,6/1/2027,8/3/2016,0.0100,92.27,92.26,92.33,92.38,92.46,92.49,92.23,91.93,91.82,91.79
9,CA135087P576,CAN 3.5 Mar28,3/1/2028,10/21/2022,0.0350,100.5,100.48,100.44,100.33,100.64,100.67,100.22,99.83,99.66,99.62
10,CA135087H235,CAN 2.0 Jun28,6/1/2028,8/1/2017,0.0200,94.75,94.71,94.81,94.67,94.92,94.94,94.57,94.17,94.01,93.97
