Date,CA135087J546,CA135087J967,CA135087K528,CA135087K940,CA135087L518,CA135087E679,CA135087M847,CA135087F825,CA135087P576,CA135087H235
1/8/2024,99.63,97.96,96.46,94.34,92.86,94.97,93.28,92.27,100.5,94.75
1/9/2024,99.64,97.98,96.48,94.37,92.86,95.01,93.3,92.26,100.48,94.71
1/10/2024,99.65,97.99,96.55,94.38,92.84,95.06,93.25,92.33,100.44,94.81
1/11/2024,99.66,97.98,96.58,94.43,92.86,95.06,93.19,92.38,100.33,94.67
1/12/2024,99.67,98.02,96.66,94.49,93.02,95.17,93.47,92.46,100.64,94.92
1/15/2024,99.69,98.05,96.71,94.49,93.01,95.14,93.49,92.49,100.67,94.94
1/16/2024,99.68,97.97,96.54,94.42,92.8,95,93.14,92.23,100.22,94.57
1/17/2024,99.68,97.98,96.45,94.25,92.57,94.74,92.86,91.93,99.83,94.17
1/18/2024,99.71,98,96.5,94.24,92.55,94.69,92.75,91.82,99.66,94.01
1/19/2024,99.72,98.01,96.46,94.22,92.54,94.66,92.76,91.79,99.62,93.97
